r,g,b
225,150,165
225,151,159
223,152,153
222,153,147
220,155,142
218,156,136
215,158,131
212,160,126
208,161,121
205,163,116
201,165,113
196,167,109
192,169,107
187,171,105
181,172,104
176,174,103
170,176,104
164,177,105
158,179,107
151,180,110
145,182,114
138,183,118
131,184,122
123,185,127
116,186,132
108,187,137
101,188,143
94,188,148
86,188,154
80,189,160
74,189,165
69,189,171
66,189,176
65,188,181
66,188,187
69,187,191
74,186,196
80,185,201
87,184,205
95,182,208
104,180,212
112,179,215
121,177,217
130,175,219
139,173,221
147,171,222
156,168,223
163,166,223
171,164,223
178,162,222
185,159,221
191,157,220
197,156,218
202,154,215
207,152,212
211,151,209
214,150,205
218,149,201
220,148,196
222,148,192
224,148,187
225,148,181
226,148,176
226,149,170
