shapechoice1,colorchoice1,shapechoice2,colorchoice2,shapecue,colorcue,choicelocation,subject,datetime
3,3,9,9,9,9,2,Jeeves,2023-02-01_13-31-20
14,13,1,14,14,14,2,Jeeves,2023-02-01_13-31-20
7,7,13,13,7,7,1,Jeeves,2023-02-01_13-31-20
4,4,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
14,14,5,5,14,14,1,Jeeves,2023-02-01_13-31-20
13,13,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
9,9,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
1,1,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
8,8,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
2,2,5,5,2,2,1,Jeeves,2023-02-01_13-31-20
8,8,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
5,13,13,3,13,13,2,Jeeves,2023-02-01_13-31-20
10,10,3,3,10,10,1,Jeeves,2023-02-01_13-31-20
2,13,14,2,2,2,1,Jeeves,2023-02-01_13-31-20
3,3,12,12,3,3,1,Jeeves,2023-02-01_13-31-20
9,9,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
14,14,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
11,11,6,6,11,11,1,Jeeves,2023-02-01_13-31-20
9,9,5,5,5,5,2,Jeeves,2023-02-01_13-31-20
10,9,9,8,9,9,1,Jeeves,2023-02-01_13-31-20
13,13,12,12,13,13,1,Jeeves,2023-02-01_13-31-20
5,5,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
14,14,2,2,2,2,2,Jeeves,2023-02-01_13-31-20
8,8,4,4,8,8,1,Jeeves,2023-02-01_13-31-20
3,3,8,8,8,8,2,Jeeves,2023-02-01_13-31-20
2,2,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
6,6,13,13,6,6,1,Jeeves,2023-02-01_13-31-20
11,11,7,7,11,11,1,Jeeves,2023-02-01_13-31-20
13,13,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
8,11,11,10,11,11,1,Jeeves,2023-02-01_13-31-20
14,14,10,10,14,14,1,Jeeves,2023-02-01_13-31-20
7,7,6,6,7,7,1,Jeeves,2023-02-01_13-31-20
3,3,12,12,3,3,1,Jeeves,2023-02-01_13-31-20
4,9,9,12,9,9,1,Jeeves,2023-02-01_13-31-20
3,3,14,14,14,14,2,Jeeves,2023-02-01_13-31-20
14,14,13,13,14,14,1,Jeeves,2023-02-01_13-31-20
6,6,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
10,10,5,5,10,10,1,Jeeves,2023-02-01_13-31-20
8,8,10,10,8,8,1,Jeeves,2023-02-01_13-31-20
12,12,9,9,12,12,1,Jeeves,2023-02-01_13-31-20
3,3,9,9,3,3,1,Jeeves,2023-02-01_13-31-20
1,1,4,4,1,1,1,Jeeves,2023-02-01_13-31-20
2,11,11,2,11,11,2,Jeeves,2023-02-01_13-31-20
8,3,14,8,8,8,1,Jeeves,2023-02-01_13-31-20
14,12,12,2,12,12,1,Jeeves,2023-02-01_13-31-20
11,6,6,13,6,6,2,Jeeves,2023-02-01_13-31-20
10,10,12,12,12,12,2,Jeeves,2023-02-01_13-31-20
12,12,4,4,4,4,2,Jeeves,2023-02-01_13-31-20
13,13,6,6,6,6,2,Jeeves,2023-02-01_13-31-20
10,10,7,7,7,7,2,Jeeves,2023-02-01_13-31-20
9,9,13,13,13,13,2,Jeeves,2023-02-01_13-31-20
2,2,12,12,2,2,1,Jeeves,2023-02-01_13-31-20
