timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1481795962000,349.41622685185183,3,13,12,4,3,3,12,1,0
1481795995000,349.4166087962963,8,14,2,6,14,1,8,0,0
1481796020000,349.41689814814816,7,13,10,5,10,3,10,1,1
1481796133000,349.4182060185185,8,4,7,11,7,3,7,0,1
1481796150000,349.41840277777777,8,12,7,14,14,3,7,1,0
1481796235000,349.41938657407405,6,9,3,12,9,4,12,0,0
1481796306000,349.42020833333333,9,2,13,6,13,4,6,1,0
1481796311000,349.4202662037037,3,8,9,13,13,2,8,1,0
1481796317000,349.4203356481481,14,4,5,8,4,1,14,0,0
1481796366000,349.42090277777777,12,3,8,14,12,2,3,0,0
1481796399000,349.4212847222222,13,8,2,5,2,1,13,0,0
1481796506000,349.4225231481482,3,12,11,5,12,2,12,1,1
1481796537000,349.42288194444444,11,14,12,3,12,2,14,1,0
1481796566000,349.4232175925926,10,13,9,11,11,2,13,0,0
1481796598000,349.423587962963,4,8,9,6,8,3,9,1,0
1481796664000,349.42435185185184,12,4,2,7,2,4,7,0,0
1481796711000,349.4248958333333,7,14,9,11,7,3,9,1,0
1481796718000,349.42497685185185,13,4,10,8,8,1,13,0,0
1481796907000,349.42716435185184,5,3,6,9,5,2,3,0,0
1481796959000,349.4277662037037,5,10,7,4,4,2,10,1,0
1481797451000,349.4334606481481,5,6,8,2,8,3,8,1,1
1481798350000,349.44386574074076,11,7,4,12,11,2,7,0,0
1481798363000,349.4440162037037,14,7,2,4,7,2,7,1,1
1481798368000,349.4440740740741,8,11,2,14,11,2,11,1,1
1481798374000,349.4441435185185,1,13,7,14,1,1,1,1,1
1481798406000,349.4445138888889,12,9,7,6,12,4,6,0,0
1481798448000,349.445,4,10,8,2,4,2,10,0,0
1481798544000,349.4461111111111,6,5,13,7,7,4,7,1,1
1481798801000,349.4490856481481,7,8,2,9,2,1,7,0,0
1481798832000,349.44944444444445,4,5,10,3,5,4,3,0,0
1481798952000,349.4508333333333,2,8,4,14,4,4,14,1,0
1481799050000,349.4519675925926,7,13,9,2,9,1,7,0,0
1481799107000,349.45262731481483,14,11,5,3,14,2,11,0,0
1481799113000,349.45269675925925,11,14,12,8,11,2,14,1,0
1481799160000,349.45324074074074,12,2,5,13,5,4,13,1,0
1481799478000,349.4569212962963,11,14,3,5,3,1,11,0,0
1481799621000,349.4585763888889,14,10,2,11,10,3,2,0,0
1481799631000,349.45869212962964,13,9,6,1,1,2,9,1,0
1481799767000,349.4602662037037,3,9,8,13,3,4,13,1,0
1481799900000,349.46180555555554,11,7,13,1,1,4,1,1,1
1481799906000,349.461875,12,2,10,6,2,1,12,0,0
1481799912000,349.46194444444444,8,10,4,11,10,3,4,0,0
1481799919000,349.46202546296297,7,9,10,8,10,2,9,0,0
1481800518000,349.4689583333333,5,9,10,6,5,2,9,0,0
1481800530000,349.4690972222222,10,14,7,13,10,4,13,1,0
1481800541000,349.46922453703706,12,14,9,6,6,3,9,0,0
1481800631000,349.4702662037037,13,8,5,12,5,1,13,1,0
1481801298000,349.47798611111114,7,6,8,11,6,2,6,0,1
1481802926000,349.4968287037037,12,6,8,14,8,4,14,1,0
1481802956000,349.49717592592594,5,13,3,8,8,2,13,0,0
1481802992000,349.4975925925926,12,2,7,14,12,4,14,1,0
1481803614000,349.5047916666667,6,11,3,8,11,2,11,0,1
1481808496000,349.5612962962963,9,12,7,14,7,4,14,1,0
1481808743000,349.5641550925926,8,2,6,14,2,2,2,0,1
1481808762000,349.564375,5,3,10,2,3,1,5,0,0
1481810787000,349.5878125,10,12,6,14,10,1,10,0,1
1481810792000,349.58787037037035,3,11,7,4,11,3,7,0,0
1481810975000,349.5899884259259,9,6,2,13,9,2,6,0,0
