timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1453888186631,26.409567488425928,7,10,7,2,10,1,0
1453888199818,26.40972011574074,3,10,3,2,10,1,0
1453888226721,26.410031493055556,13,13,13,1,13,0,1
1453888263488,26.410457037037038,2,1,2,2,1,0,0
1453888277159,26.410615266203703,9,3,9,2,3,0,0
1453888338916,26.4113300462963,6,12,6,1,6,1,1
1453888349013,26.41144690972222,13,1,13,2,1,1,0
1453888368209,26.411669085648146,2,7,7,1,2,0,0
1453888371779,26.411710405092595,12,6,6,1,12,1,0
1453888377487,26.41177646990741,10,2,2,2,2,0,1
1453888381147,26.41181883101852,14,6,6,1,14,0,0
1453888969159,26.418624525462963,10,9,9,2,9,0,1
1453889366840,26.423227314814813,1,4,1,2,4,1,0
1453889425215,26.423902951388886,6,8,6,1,6,1,1
1453889436933,26.42403857638889,13,5,5,2,5,1,1
1453889578238,26.425674050925924,13,13,13,2,13,1,1
1453889580933,26.425705243055557,11,7,7,2,7,0,1
1453889915227,26.429574386574075,10,11,11,2,11,0,1
1453889928797,26.429731446759256,14,7,7,1,14,0,0
1453890025169,26.430846863425927,13,5,13,2,5,1,0
1453890048678,26.431118958333332,3,1,1,2,1,1,1
1453890050580,26.431140972222224,10,6,10,2,6,0,0
1453890077233,26.43144945601852,5,10,5,2,10,0,0
1453890121975,26.431967303240743,13,12,12,2,12,0,1
1453890178993,26.432627233796293,12,14,12,1,12,1,1
1453890310187,26.43414568287037,7,10,10,1,7,0,0
1453890319848,26.4342575,10,11,10,2,11,1,0
1453890367013,26.4348033912037,4,2,2,2,2,1,1
1453890371404,26.434854212962964,13,2,13,2,2,0,0
1453890377502,26.434924791666663,6,4,6,2,4,1,0
1453890399408,26.435178333333333,3,14,14,2,14,1,1
1453890832406,26.440189884259258,3,7,7,1,3,1,0
1453890848642,26.440377800925926,4,1,4,2,1,0,0
1453891460657,26.447461307870373,2,9,9,2,9,1,1
1453891477208,26.447652870370373,13,8,13,2,8,1,0
1453895478409,26.49396306712963,3,1,1,2,1,0,1
