days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
26,8,8,8,8,0,1
26,5,7,5,7,0,0
26,7,11,11,11,1,1
26,8,6,6,8,0,0
26,7,9,7,7,1,1
26,4,0,4,4,0,1
26,9,13,13,13,1,1
26,12,2,2,2,1,1
26,0,9,9,0,0,0
26,3,10,3,10,1,0
26,11,8,8,11,0,0
26,3,5,3,5,0,0
26,4,12,4,4,0,1
26,11,7,7,11,0,0
26,3,11,3,3,0,1
26,6,7,7,7,0,1
26,9,0,0,0,1,1
26,6,3,3,3,1,1
26,2,3,3,2,0,0
26,6,8,8,6,1,0
26,6,8,8,8,0,1
26,6,13,13,13,1,1
26,3,5,5,3,0,0
26,4,10,10,10,0,1
26,11,6,6,11,1,0
26,2,6,6,6,1,1
26,13,13,13,13,0,1
26,8,2,2,8,0,0
26,9,7,7,9,0,0
26,7,12,12,12,0,1
26,12,0,0,0,0,1
26,10,12,12,10,1,0
26,8,9,9,9,1,1
26,2,5,2,2,0,1
26,6,3,6,6,1,1
26,9,8,9,8,1,0
26,12,8,12,12,1,1
26,11,11,11,11,1,1
26,5,10,5,10,1,0
26,10,9,9,9,1,1
26,10,8,10,10,1,1
26,12,1,12,1,1,0
26,1,7,7,1,1,0
26,13,13,13,13,1,1
26,13,1,1,1,1,1
26,6,9,9,6,1,0
26,10,1,1,10,0,0
26,13,11,11,11,0,1
26,8,9,8,8,1,1
26,9,3,9,9,0,1
26,7,7,7,7,1,1
26,8,1,1,8,1,0
26,4,1,4,1,1,0
26,7,3,3,7,1,0
26,10,1,1,1,1,1
26,10,12,12,10,0,0
26,10,1,1,10,1,0
26,6,11,6,11,0,0
26,13,11,13,13,1,1
26,6,10,10,6,0,0
26,10,4,4,10,0,0
26,13,3,3,13,0,0
26,2,11,2,2,0,1
26,10,9,10,10,1,1
26,7,7,7,7,1,1
26,5,2,5,5,0,1
26,11,5,5,11,0,0
26,6,12,12,6,0,0
26,1,11,11,11,0,1
26,6,8,6,6,0,1
26,11,8,11,8,1,0
26,3,4,3,4,1,0
26,6,1,6,6,0,1
26,10,4,10,10,0,1
26,9,8,9,9,0,1
26,5,12,12,12,0,1
26,1,12,1,1,1,1
26,2,9,9,9,1,1
26,3,11,11,11,0,1
26,2,13,2,2,0,1
26,1,5,1,5,1,0
26,3,2,2,2,1,1
