timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1481796792000,349.42583333333334,11,6,13,7,7,1,11,0,0
1481798388000,349.44430555555556,12,11,1,10,1,3,1,1,1
1481798509000,349.44570601851854,9,6,4,11,9,1,9,0,1
1481798962000,349.45094907407406,6,8,4,13,8,4,13,1,0
1481799211000,349.45383101851854,13,1,8,4,1,2,1,1,1
1481800588000,349.4697685185185,1,11,14,5,1,3,14,0,0
1481803266000,349.5007638888889,14,13,10,8,13,2,13,1,1
1481803275000,349.50086805555554,5,14,4,3,4,1,5,0,0
1481803478000,349.5032175925926,13,9,7,1,1,1,13,0,0
1481806247000,349.5352662037037,12,6,7,14,6,2,6,1,1
1481880968000,350.4000925925926,4,1,7,8,1,2,1,1,1
1481882685000,350.4199652777778,3,8,9,5,8,4,5,0,0
1481882689000,350.42001157407407,11,4,7,10,11,1,11,0,1
1481882695000,350.42008101851854,7,4,13,3,3,1,7,1,0
1481882707000,350.4202199074074,10,13,5,6,5,2,13,0,0
1481886358000,350.4624768518519,12,5,7,13,12,4,13,1,0
1481886415000,350.4631365740741,4,11,8,14,14,4,14,1,1
1481886645000,350.4657986111111,13,14,4,8,4,1,13,0,0
1481886659000,350.46596064814815,6,12,4,11,4,1,6,1,0
1481886666000,350.4660416666667,12,3,5,2,2,4,2,1,1
1481886676000,350.4661574074074,12,5,14,7,14,3,14,1,1
1481886727000,350.46674768518517,9,12,14,13,9,4,13,0,0
1481887389000,350.4744097222222,13,5,14,4,14,3,14,1,1
1481887413000,350.4746875,7,8,4,6,4,1,7,0,0
1481887420000,350.47476851851854,11,12,3,5,3,2,12,1,0
1481887424000,350.4748148148148,12,2,13,6,6,3,13,1,0
1481887849000,350.4797337962963,6,7,2,13,2,4,13,1,0
1481887868000,350.4799537037037,10,6,4,11,4,2,6,1,0
1481887885000,350.48015046296297,10,4,6,2,10,4,2,0,0
1481887897000,350.48028935185187,6,2,12,11,6,1,6,1,1
1481888164000,350.4833796296296,2,3,10,13,3,4,13,0,0
1481888168000,350.4834259259259,3,11,13,4,3,3,13,1,0
1481888171000,350.48346064814814,5,13,11,8,5,2,13,1,0
1481888185000,350.4836226851852,8,12,4,7,7,4,7,0,1
1481888567000,350.4880439814815,9,8,13,11,13,3,13,0,1
1481888724000,350.4898611111111,3,5,13,12,3,3,13,1,0
1481888735000,350.4899884259259,11,7,3,8,3,2,7,1,0
1481888755000,350.4902199074074,10,9,13,12,13,3,13,0,1
1481892877000,350.53792824074077,7,6,13,10,7,2,6,1,0
1481894474000,350.55641203703703,11,13,2,8,2,4,8,0,0
1481894793000,350.5601041666667,11,3,7,9,11,4,9,1,0
1481894797000,350.56015046296295,1,8,3,10,1,2,8,0,0
1481894855000,350.5608217592593,13,7,14,5,7,3,14,1,0
1481894973000,350.5621875,4,11,5,2,5,2,11,0,0
1481894976000,350.5622222222222,4,12,6,9,4,2,12,1,0
1481894995000,350.56244212962963,4,10,1,6,1,3,1,0,1
1481895004000,350.5625462962963,2,14,7,8,8,2,14,1,0
1481895050000,350.5630787037037,3,5,6,13,6,3,6,1,1
1481895102000,350.56368055555555,9,1,12,6,1,2,1,0,1
1481895105000,350.56371527777776,3,2,6,5,5,2,2,0,0
1481895207000,350.5648958333333,1,9,14,2,1,3,14,1,0
1481895619000,350.5696643518518,2,10,7,12,10,2,10,1,1
