timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1453890907913,26.44106380787037,14,3,14,1,14,0,1
1453891240202,26.44490974537037,12,2,12,1,12,0,1
1453891340424,26.446069722222223,5,11,5,1,5,1,1
1453891391618,26.44666224537037,3,12,3,1,3,0,1
1453891501194,26.44793048611111,13,12,12,1,13,0,0
1453892116610,26.45505335648148,12,6,6,1,12,1,0
1453892272878,26.456862013888887,5,6,6,1,5,1,0
1453896081951,26.500948506944443,12,11,11,1,12,1,0
1453896096691,26.5011191087963,11,9,9,1,11,0,0
1453896131158,26.501518032407404,3,1,1,1,3,1,0
1453896134178,26.501552986111108,9,12,12,1,9,1,0
1453896139514,26.50161474537037,7,10,10,1,7,0,0
1453896161690,26.50187141203704,9,2,2,1,9,1,0
1453896167962,26.501944004629628,12,14,14,1,12,1,0
1453896171935,26.50198998842593,10,7,10,1,10,0,1
1453896180402,26.502087986111107,13,9,13,1,13,1,1
1453896215484,26.50249402777778,10,5,10,1,10,1,1
1453896224286,26.502595902777777,2,11,11,1,2,0,0
1453896250280,26.502896759259254,3,13,13,1,3,0,0
1453896256315,26.502966608796296,14,10,10,1,14,0,0
1453896279088,26.503230185185185,13,10,13,1,13,1,1
1453896328740,26.503804861111117,2,3,3,2,3,1,1
1453896381779,26.50441873842593,4,9,4,1,4,1,1
1453896389381,26.50450672453704,1,13,1,1,1,0,1
1453896425213,26.50492144675926,6,9,9,1,6,1,0
1453896432892,26.505010324074075,11,11,11,1,11,1,1
1453896485002,26.505613449074072,5,5,5,2,5,1,1
1453896545669,26.50631561342593,11,2,2,2,2,1,1
1453896616977,26.5071409375,5,7,7,1,5,1,0
1453896622674,26.507206875,5,14,5,1,5,0,1
1453896628402,26.50727317129629,12,1,1,1,12,0,0
1453896647538,26.50749465277778,3,7,7,1,3,0,0
1453896715360,26.508279629629627,11,6,6,1,11,0,0
1453896725959,26.50840230324074,6,1,1,1,6,1,0
1453896775824,26.50897944444445,6,9,9,1,6,1,0
1453896780461,26.50903311342593,13,3,3,1,13,1,0
1453896788781,26.50912940972222,11,9,9,1,11,1,0
1453896796276,26.50921615740741,1,14,1,1,1,0,1
1453896808951,26.50936285879629,11,7,7,1,11,0,0
1453896815298,26.509436319444443,9,7,7,1,9,1,0
1453896818373,26.509471909722222,10,7,10,1,10,0,1
1453896820963,26.509501886574075,14,10,14,1,14,1,1
1453896883416,26.510224722222222,14,5,14,1,14,1,1
1453896893604,26.510342638888886,11,5,11,1,11,0,1
1453896909432,26.51052583333333,2,8,2,1,2,1,1
1453896936717,26.510841631944448,6,1,6,1,6,0,1
1453897084362,26.512550486111117,14,5,14,1,14,0,1
1453897177319,26.513626377314814,13,10,10,1,13,1,0
1453897310036,26.515162453703702,9,7,7,1,9,0,0
1453897532396,26.517736064814816,9,4,4,1,9,0,0
1453897544881,26.51788056712963,12,5,12,1,12,1,1
1453897563736,26.518098796296297,13,7,7,1,13,0,0
1453897566697,26.518133067129632,5,3,3,1,5,1,0
1453897576436,26.51824578703704,3,5,5,1,3,0,0
1453897589772,26.51840013888889,9,5,9,1,9,0,1
1453897601751,26.518538784722224,5,11,5,1,5,1,1
1453897644417,26.519032604166664,3,5,5,1,3,1,0
1453897652244,26.519123194444443,4,14,4,1,4,1,1
1453897693035,26.5195953125,12,8,12,1,12,0,1
1453897704287,26.519725543981483,7,7,7,1,7,1,1
1453897832846,26.521213495370368,6,13,6,1,6,1,1
1453897854042,26.521458819444444,3,9,3,1,3,1,1
1453897860183,26.521529895833336,10,9,9,1,10,1,0
1453897867594,26.521615671296296,2,4,4,1,2,1,0
1453897876000,26.52171296296296,1,4,1,1,1,0,1
1453898273325,26.526311631944445,6,12,6,1,6,1,1
1453898313581,26.526777557870368,7,12,12,1,7,0,0
1453898325502,26.526915532407404,13,14,13,1,13,0,1
1453898415003,26.52795142361111,9,12,9,2,12,0,0
1453898555356,26.529575879629636,2,5,5,1,2,1,0
1453898558189,26.52960866898148,3,14,3,1,3,1,1
1453898660969,26.530798252314817,4,5,4,1,4,0,1
1453898665982,26.530856273148142,14,8,14,1,14,0,1
1453898748044,26.531806064814816,4,1,1,1,4,0,0
1453898798399,26.532388877314816,2,12,12,1,2,0,0
1453898882570,26.5333630787037,10,9,9,1,10,0,0
1453898885858,26.53340113425926,8,11,8,1,8,0,1
1453899014741,26.534892835648147,10,14,14,2,14,1,1
1453899138708,26.53632763888889,9,2,9,2,2,1,0
1453899406602,26.539428263888887,12,8,12,1,12,0,1
1453899589433,26.541544363425928,5,11,5,1,5,1,1
1453899721647,26.54307461805556,3,9,9,1,3,0,0
1453899725177,26.54311547453704,7,9,7,1,7,1,1
1453899821221,26.54422709490741,4,9,4,2,9,0,0
1453900341371,26.550247349537035,2,5,2,1,2,0,1
1453900365716,26.55052912037037,8,1,8,1,8,0,1
1453900579685,26.553005613425928,12,10,12,1,12,0,1
1453900647224,26.55378731481481,8,5,8,1,8,0,1
1453900785091,26.555382997685182,3,4,4,1,3,0,0
1453900791964,26.555462546296297,5,2,5,1,5,0,1
1453901215985,26.56037019675926,14,13,14,1,14,1,1
1453901439030,26.56295173611111,9,5,9,1,9,1,1
1453901469401,26.563303252314817,12,2,12,1,12,1,1
1453901471946,26.56333270833333,11,13,13,1,11,1,0
1453901569404,26.564460694444445,9,3,3,1,9,1,0
1453901587412,26.56466912037037,4,1,4,1,4,1,1
1453901592639,26.564729618055555,9,11,9,1,9,1,1
1453901597679,26.56478795138889,8,4,4,1,8,1,0
1453901713918,26.566133310185187,2,14,2,1,2,1,1
1453901722494,26.566232569444445,12,6,6,1,12,1,0
1453901729902,26.56631831018518,2,3,2,1,2,1,1
1453901732516,26.566348564814813,11,7,7,2,7,0,1
1453901901439,26.56830369212963,9,6,9,1,9,0,1
1453901903627,26.568329016203705,11,10,11,2,10,0,0
1453901910257,26.568405752314817,6,13,6,1,6,1,1
1453902103943,26.570647488425926,3,12,12,1,3,0,0
1453902366170,26.573682523148147,9,4,9,1,9,0,1
1453902375532,26.57379087962963,9,13,9,1,9,1,1
1453909901028,26.66089152777778,7,9,7,1,7,0,1
1453909903298,26.66091780092593,9,11,11,2,11,1,1
1453909933137,26.661263159722225,9,6,9,2,6,0,0
1453909938398,26.661324050925927,10,1,1,1,10,1,0
1453909973316,26.661728194444446,3,13,13,1,3,1,0
1453910072522,26.66287641203704,8,12,8,1,8,1,1
1453910102744,26.663226203703704,4,8,4,1,4,0,1
1453910420666,26.666905856481485,12,3,12,1,12,0,1
1453910930042,26.672801412037035,3,5,5,1,3,1,0
1453910944293,26.672966354166668,8,5,5,1,8,0,0
1453911012572,26.673756620370373,2,5,2,1,2,0,1
1453911033511,26.673998969907405,7,6,6,1,7,0,0
1453911154932,26.67540430555556,2,4,2,1,2,0,1
1453911337352,26.677515648148148,4,7,7,1,4,1,0
1453911340755,26.67755503472222,14,2,14,1,14,0,1
1453911564983,26.680150266203704,10,5,10,2,5,0,0
1453911568703,26.680193321759266,11,4,11,1,11,0,1
1453911574374,26.680258958333333,7,9,7,1,7,0,1
1453911732996,26.68209486111111,14,12,12,1,14,0,0
1453911808838,26.68297266203704,14,7,14,1,14,1,1
1453911985538,26.685017800925927,6,10,6,1,6,1,1
1453911993092,26.685105231481483,7,4,7,1,7,0,1
