days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
26,7,9,7,9,0,0
26,1,11,1,11,1,0
26,12,0,12,12,1,1
26,3,8,3,8,1,0
26,12,5,12,12,1,1
26,6,2,6,2,0,0
26,3,5,3,5,1,0
26,4,6,4,6,0,0
26,8,13,13,13,1,1
26,4,11,11,11,1,1
26,13,1,13,13,1,1
26,10,3,10,10,0,1
26,7,10,7,10,1,0
26,4,5,4,4,1,1
26,7,0,7,0,0,0
26,6,9,6,9,1,0
26,1,10,10,10,1,1
26,4,2,4,4,0,1
26,6,4,6,6,1,1
26,12,9,12,9,0,0
26,12,11,12,11,0,0
26,8,13,8,13,1,0
26,8,6,8,8,1,1
26,2,6,2,6,0,0
26,9,12,9,9,1,1
26,13,3,13,13,1,1
26,7,7,7,7,0,1
26,1,9,9,1,0,0
26,5,12,5,5,1,1
26,12,2,12,2,1,0
26,11,12,11,11,1,1
26,0,11,0,0,1,1
26,10,1,10,10,1,1
26,13,11,11,11,1,1
26,3,13,3,3,1,1
26,10,9,10,9,0,0
26,12,2,12,2,0,0
26,10,0,0,10,1,0
26,8,9,8,8,0,1
26,5,10,5,10,1,0
26,4,2,4,4,0,1
26,10,3,10,10,1,1
26,13,10,13,13,1,1
26,12,11,12,12,1,1
26,9,6,6,6,1,1
26,3,9,3,9,1,0
26,3,2,3,2,0,0
26,4,11,4,4,0,1
26,7,2,7,7,0,1
26,5,4,5,5,0,1
26,7,3,7,7,0,1
26,7,12,7,12,1,0
26,5,11,5,11,1,0
26,6,4,6,6,0,1
26,6,6,6,6,0,1
26,7,2,7,2,1,0
26,6,10,6,10,1,0
26,7,5,7,5,1,0
26,7,6,7,6,0,0
26,5,3,5,3,1,0
26,4,6,4,4,1,1
26,9,0,9,0,1,0
26,11,4,11,11,0,1
26,3,2,3,3,0,1
26,12,10,12,12,0,1
26,12,4,12,12,0,1
26,1,0,1,0,0,0
26,9,7,9,9,0,1
26,2,1,2,1,1,0
26,13,3,13,3,1,0
26,4,6,4,4,0,1
26,13,3,13,3,1,0
26,9,6,9,9,1,1
26,13,0,13,13,1,1
26,12,8,12,12,0,1
26,5,11,5,5,1,1
26,3,8,3,8,1,0
26,1,12,12,12,1,1
26,2,3,2,3,0,0
26,5,9,5,5,0,1
26,2,0,2,2,0,1
26,5,7,5,7,0,0
26,2,6,6,6,1,1
26,1,8,1,8,0,0
26,10,1,10,1,1,0
26,5,6,5,6,0,0
26,8,0,8,8,0,1
26,12,3,12,3,1,0
26,3,7,3,3,1,1
26,8,1,8,1,1,0
26,5,6,5,5,1,1
26,6,2,6,2,1,0
26,13,9,13,13,1,1
26,6,6,6,6,1,1
26,5,13,5,5,0,1
26,2,1,2,2,0,1
26,6,11,6,6,0,1
26,8,8,8,8,1,1
26,12,2,2,2,0,1
26,7,11,7,7,0,1
26,10,0,10,0,1,0
26,4,8,4,8,1,0
26,4,13,4,13,1,0
26,10,0,10,10,0,1
26,6,4,6,4,1,0
26,12,2,12,12,0,1
26,9,1,9,9,0,1
26,0,12,0,0,0,1
26,2,2,2,2,1,1
26,0,12,0,0,1,1
26,9,5,9,9,0,1
26,12,6,12,6,0,0
26,3,13,3,3,1,1
26,9,5,5,9,0,0
26,0,2,0,0,0,1
26,11,3,11,11,1,1
26,1,11,1,11,1,0
26,13,2,13,2,1,0
26,1,13,1,1,1,1
26,3,4,3,3,1,1
26,9,8,9,8,1,0
26,8,8,8,8,1,1
26,7,1,7,1,0,0
26,1,3,1,3,0,0
26,10,2,10,10,1,1
26,1,6,1,1,1,1
26,11,5,11,5,1,0
26,6,8,6,6,0,1
26,13,10,13,10,0,0
27,12,7,12,7,1,0
27,2,11,2,11,0,0
27,3,8,3,8,1,0
27,2,9,2,2,0,1
27,6,13,6,6,0,1
27,2,7,2,2,0,1
27,8,13,8,13,0,0
27,4,13,4,4,1,1
27,11,13,11,11,1,1
27,3,12,3,12,0,0
27,7,9,7,9,0,0
27,3,1,3,1,0,0
27,4,5,4,5,1,0
27,3,10,3,3,0,1
27,1,10,1,1,0,1
27,13,6,13,13,0,1
27,9,6,9,6,0,0
27,11,5,11,11,0,1
27,2,5,2,5,1,0
27,8,7,8,8,1,1
27,9,8,9,9,1,1
27,0,1,0,0,1,1
27,11,8,11,8,1,0
27,1,8,1,1,1,1
27,10,2,10,10,1,1
27,8,4,8,8,0,1
27,1,12,1,12,0,0
27,13,0,13,0,1,0
27,3,6,3,6,0,0
27,6,11,6,11,1,0
27,9,0,9,9,1,1
27,10,3,10,3,1,0
27,3,0,3,0,0,0
27,5,6,5,6,1,0
27,7,8,7,7,0,1
27,0,8,0,0,1,1
27,10,9,10,9,1,0
27,7,12,7,7,0,1
27,4,7,4,7,1,0
27,4,9,4,4,0,1
27,1,4,1,1,1,1
27,12,11,12,12,1,1
27,3,4,3,3,0,1
27,7,7,7,7,1,1
27,9,5,9,9,1,1
27,2,11,2,2,0,1
27,10,8,10,8,0,0
27,3,4,3,4,1,0
27,6,7,6,6,0,1
27,11,11,11,11,0,1
27,12,9,12,12,0,1
27,11,13,11,11,1,1
27,9,0,9,0,0,0
27,8,6,8,8,1,1
27,5,1,5,1,1,0
27,8,2,8,8,0,1
27,6,11,6,6,1,1
27,13,0,13,0,0,0
27,4,10,4,4,0,1
27,7,10,7,7,1,1
27,11,9,11,9,1,0
27,7,11,7,11,1,0
27,10,2,10,2,0,0
27,3,5,3,3,0,1
27,10,6,10,6,1,0
27,5,4,5,4,1,0
27,13,4,13,13,0,1
27,0,7,0,0,0,1
27,12,4,4,12,1,0
27,9,3,9,3,0,0
27,3,12,3,3,0,1
27,12,0,12,0,0,0
27,4,3,4,3,0,0
27,3,7,3,7,0,0
27,1,2,1,1,1,1
27,2,3,2,3,0,0
27,11,4,11,4,1,0
27,6,0,6,0,1,0
27,7,11,7,11,0,0
27,0,5,5,0,1,0
27,5,7,5,5,1,1
27,1,1,1,1,1,1
27,3,10,3,10,0,0
27,11,7,11,7,0,0
27,4,8,4,8,0,0
27,9,1,9,9,0,1
27,2,3,2,2,1,1
27,12,12,12,12,1,1
27,12,0,12,12,0,1
27,2,2,2,2,1,1
27,10,11,10,11,0,0
27,8,12,8,8,0,1
27,7,2,7,2,0,0
27,3,1,3,1,0,0
27,13,0,13,13,1,1
27,13,10,13,10,1,0
27,9,2,9,2,1,0
27,10,11,10,10,0,1
27,0,12,0,0,0,1
27,13,8,13,8,0,0
27,3,12,3,3,1,1
27,5,8,5,8,0,0
27,9,7,9,7,1,0
27,4,9,4,9,0,0
27,5,4,5,4,1,0
27,2,0,2,0,1,0
27,5,4,5,4,1,0
27,8,11,8,8,0,1
27,1,3,1,3,0,0
27,6,12,6,6,1,1
27,13,1,13,13,0,1
27,12,6,12,6,1,0
27,0,9,0,0,1,1
27,3,2,3,3,1,1
27,2,3,2,3,1,0
27,11,7,11,11,1,1
27,3,5,3,5,1,0
27,6,8,6,6,1,1
27,7,2,7,7,1,1
27,11,3,11,11,1,1
27,9,11,9,11,1,0
27,11,11,11,11,1,1
27,0,12,0,0,0,1
27,9,13,9,9,1,1
27,5,3,5,5,1,1
27,8,4,8,4,1,0
27,6,10,6,10,1,0
27,2,7,2,7,1,0
27,6,9,6,9,1,0
27,9,4,9,9,0,1
27,10,9,10,9,1,0
27,2,0,2,2,0,1
27,12,7,12,7,1,0
27,7,5,7,5,1,0
27,0,6,0,0,1,1
27,12,10,12,10,0,0
27,1,6,1,1,1,1
27,7,12,7,7,1,1
27,5,5,5,5,1,1
