timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1478525935000,311.56869212962965,3,5,8,4,5,2,5,0,1
1478526349000,311.5734837962963,8,4,5,12,5,3,5,0,1
1478526352000,311.57351851851854,2,8,10,12,12,4,12,1,1
1478526366000,311.57368055555554,8,3,10,12,3,2,3,1,1
1478526394000,311.57400462962966,3,7,12,11,12,3,12,1,1
1478526397000,311.57403935185187,4,10,6,12,6,3,6,0,1
1478526406000,311.5741435185185,3,8,13,10,13,2,8,0,0
1478526415000,311.5742476851852,10,5,11,9,11,3,11,1,1
1478526417000,311.57427083333334,9,5,8,11,8,4,11,1,0
1478526474000,311.57493055555557,11,8,7,6,6,2,8,0,0
1478526538000,311.5756712962963,12,6,11,14,6,2,6,1,1
1478526545000,311.5757523148148,3,14,5,2,3,1,3,1,1
1478526548000,311.57578703703706,6,12,9,5,12,2,12,0,1
1478526559000,311.57591435185185,11,2,7,5,2,2,2,0,1
1478526562000,311.57594907407406,9,14,13,1,1,1,9,1,0
1478526630000,311.57673611111113,10,8,1,7,1,3,1,0,1
1478526662000,311.5771064814815,12,10,5,11,11,3,5,0,0
1478526728000,311.57787037037036,8,2,4,14,14,1,8,1,0
1478526731000,311.5779050925926,14,8,2,3,8,2,8,1,1
1478526735000,311.5779513888889,14,8,11,1,1,2,8,1,0
1478526749000,311.57811342592595,13,4,2,14,2,3,2,1,1
1478526754000,311.5781712962963,9,11,13,4,9,4,4,0,0
1478526782000,311.5784953703704,13,5,4,14,5,2,5,1,1
1478526785000,311.5785300925926,6,10,4,9,4,1,6,1,0
1478526795000,311.5786458333333,6,8,14,2,2,4,2,1,1
1478526798000,311.57868055555554,10,8,13,6,10,3,13,0,0
1478526806000,311.5787731481482,3,4,12,14,12,1,3,1,0
1478526833000,311.5790856481481,12,10,11,7,7,4,7,0,1
1478526857000,311.5793634259259,13,4,12,6,12,1,13,0,0
1478526880000,311.5796296296296,12,7,10,8,10,4,8,1,0
1478526942000,311.5803472222222,6,11,12,13,13,4,13,0,1
1478527028000,311.5813425925926,14,13,11,3,3,4,3,1,1
1478527031000,311.5813773148148,9,2,6,3,3,2,2,0,0
1478527042000,311.58150462962965,8,3,2,6,8,1,8,0,1
1478527044000,311.58152777777775,7,2,4,13,4,2,2,0,0
1478527117000,311.5823726851852,6,12,9,11,11,2,12,1,0
1478528397000,311.5971875,5,14,4,2,4,2,14,1,0
1478528410000,311.59733796296297,13,8,7,4,4,2,8,1,0
1478528445000,311.59774305555555,9,14,4,7,14,1,9,1,0
1478528449000,311.5977893518519,12,2,3,13,3,3,3,0,1
1478528453000,311.59783564814813,5,4,9,2,9,1,5,0,0
1478528456000,311.59787037037034,3,7,10,9,7,2,7,1,1
1478528461000,311.5979282407407,11,4,7,6,6,4,6,1,1
1478528757000,311.6013541666667,12,9,10,13,12,4,13,0,0
1478528777000,311.60158564814816,12,8,3,6,6,2,8,1,0
1478528830000,311.60219907407406,8,9,4,3,3,4,3,1,1
1478529171000,311.60614583333336,2,7,4,13,4,1,2,1,0
1478529181000,311.6062615740741,6,5,10,4,5,2,5,1,1
1478529199000,311.6064699074074,1,2,10,9,1,1,1,0,1
